"Rank","Week","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","8.00","PHI","WAS","8","2023-10-29","4","11:36","2","9","(11:36) (No Huddle, Shotgun) PENALTY on PHI-78-I.Opeta, False Start, 5 yards, enforced at PHI 26 - No Play.","Box Score"
"","8.00","WAS","PHI","8","2023-10-29","3","9:26","1","10","(9:26) (Shotgun) 14-S.Howell pass incomplete short middle [7-H.Reddick]. PENALTY on WAS-14-S.Howell, Intentional Grounding, 10 yards, enforced at WAS 19.","Box Score"
"","8.00","WAS","PHI","8","2023-10-29","2","13:47","1","10","(13:47) 8-B.Robinson left end pushed ob at PHI 5 for 10 yards (24-J.Bradberry). PENALTY on WAS-82-L.Thomas, Low Block, 15 yards, enforced at PHI 15 - No Play.","Box Score"
"","8.00","NYG","NYJ","8","2023-10-29","5","10:00","1","10","(10:00) 15-T.DeVito pass short right to 26-S.Barkley ran ob at NYG 27 for 2 yards (21-A.Davis). PENALTY on NYG-82-D.Bellinger, Offensive Holding, 10 yards, enforced at NYG 25 - No Play.","Box Score"
"","8.00","NYG","NYJ","8","2023-10-29","2","1:17","4","8","(1:17) (Shotgun) PENALTY on NYG, Delay of Game, 6 yards, enforced at NYJ 39 - No Play.","Box Score"
"","8.00","NYG","NYJ","8","2023-10-29","2","11:23","1","5","(11:23) 26-S.Barkley left guard to NYG 8 for no gain (94-S.Thomas). PENALTY on NYJ-94-S.Thomas, Face Mask, 15 yards, enforced at NYG 8 - No Play.","Box Score"
"","8.00","NYG","NYJ","8","2023-10-29","2","11:35","1","10","(11:35) 26-S.Barkley up the middle to NYG 5 for 2 yards (0-A.Amos; 91-J.Franklin-Myers). PENALTY on NYJ-91-J.Franklin-Myers, Defensive Offside, 5 yards, enforced at NYG 3 - No Play.","Box Score"
"","8.00","IND","NO","8","2023-10-29","4","5:22","1","10","(5:22) (Shotgun) PENALTY on IND-75-W.Fries, False Start, 5 yards, enforced at IND 16 - No Play.","Box Score"
"","8.00","IND","NO","8","2023-10-29","4","9:44","1","10","(9:44) (No Huddle, Shotgun) 10-G.Minshew pass incomplete short middle to 14-A.Pierce. PENALTY on NO-32-T.Mathieu, Defensive Pass Interference, 15 yards, enforced at IND 37 - No Play.","Box Score"
"","8.00","MIA","NE","8","2023-10-29","3","2:26","1","10","(2:26) PENALTY on NE-13-J.Jones, Neutral Zone Infraction, 5 yards, enforced at MIA 37 - No Play.","Box Score"
"","8.00","MIA","NE","8","2023-10-29","3","12:00","1","10","(12:00) (Shotgun) PENALTY on MIA-65-R.Jones, False Start, 5 yards, enforced at MIA 45 - No Play.","Box Score"
"","8.00","NO","IND","8","2023-10-29","4","11:12","2","5","(11:12) 41-A.Kamara right tackle to IND 1 for 4 yards (53-S.Leonard; 44-Z.Franklin). PENALTY on IND-38-T.Brown, Face Mask, 0 yards, enforced at IND 1. 4-D.Carr in at QB for NO.","Box Score"
"","8.00","WAS","PHI","8","2023-10-29","2","0:06","1","10","(:06) (Field Goal formation) PENALTY on WAS-75-C.Paul, False Start, 5 yards, enforced at PHI 38 - No Play.","Box Score"
"","8.00","IND","NO","8","2023-10-29","2","7:21","2","10","(7:21) (Shotgun) 10-G.Minshew pass incomplete short right to 11-M.Pittman. PENALTY on IND-56-Q.Nelson, Offensive Holding, 10 yards, enforced at IND 25 - No Play.","Box Score"
"","8.00","JAX","PIT","8","2023-10-29","4","13:52","1","10","(13:52) PENALTY on JAX-89-L.Farrell, False Start, 5 yards, enforced at JAX 39 - No Play.","Box Score"
"","8.00","DET","LV","8","2023-10-30","4","5:25","1","4","(5:25) 13-C.Reynolds left end for 4 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on DET-70-D.Skipper, Offensive Holding, 10 yards, enforced at LV 4 - No Play.","Box Score"
"","8.00","LV","DET","8","2023-10-30","3","5:29","1","10","(5:29) PENALTY on LV-8-J.Jacobs, False Start, 1 yard, enforced at LV 3 - No Play.","Box Score"
"","8.00","DET","LV","8","2023-10-30","2","12:35","4","8","(12:35) (Shotgun) PENALTY on DET, Delay of Game, 5 yards, enforced at LV 8 - No Play.","Box Score"
"","8.00","WAS","PHI","8","2023-10-29","4","8:42","2","10","(8:42) (Shotgun) 14-S.Howell pass short left to 87-J.Bates to WAS 31 for 6 yards (32-R.Blankenship). PENALTY on WAS-76-S.Cosmi, Ineligible Downfield Pass, 5 yards, enforced at WAS 25 - No Play.","Box Score"
"","8.00","PHI","WAS","8","2023-10-29","3","10:21","4","3","(10:21) (Shotgun) 1-J.Hurts pass incomplete deep left to 11-A.Brown. PENALTY on WAS-25-B.St-Juste, Defensive Pass Interference, 31 yards, enforced at WAS 32 - No Play. Penalty on WAS-25-B.St-Juste, Illegal Use of Hands, declined.","Box Score"
