"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","3.78","PIT","BAL","14","2022-12-11","4","3:17","2","10","(3:17) (Shotgun) 10-M.Trubisky pass deep left to 18-D.Johnson to BAL 38 for 37 yards (44-M.Humphrey). PENALTY on BAL-92-J.Madubuike, Roughing the Passer, 15 yards, enforced at BAL 38.","Box Score"
"","3.78","CLE","CAR","1","2022-09-11","2","11:02","3","3","(11:02) (Shotgun) 7-J.Brissett pass deep left intended for 2-A.Cooper INTERCEPTED by 25-X.Woods [53-B.Burns] at CAR 0. 25-X.Woods to CAR 31 for 31 yards (88-H.Bryant). PENALTY on CAR-24-C.Henderson, Defensive Pass Interference, 34 yards, enforced at CAR 35 - No Play.","Box Score"
"","3.57","SEA","ARI","9","2022-11-06","3","5:38","3","12","(5:38) (Shotgun) 7-G.Smith pass short middle to 16-T.Lockett to SEA 47 for 12 yards (25-Z.Collins). PENALTY on ARI-25-Z.Collins, Unnecessary Roughness, 15 yards, enforced at SEA 47.","Box Score"
"","3.45","GB","NYG","5","2022-10-09","1","3:33","2","13","(3:33) (Shotgun) 12-A.Rodgers pass incomplete deep right to 85-R.Tonyan. PENALTY on NYG-29-X.McKinney, Defensive Pass Interference, 33 yards, enforced at NYG 37 - No Play.","Box Score"
"","3.41","DAL","PHI","16","2022-12-24","2","12:58","4","8","(12:58) (Shotgun) 4-D.Prescott pass incomplete short right to 16-T.Hilton. PENALTY on PHI-2-D.Slay, Illegal Contact, 5 yards, enforced at PHI 45 - No Play.","Box Score"
"","3.40","SF","CAR","5","2022-10-09","3","8:23","4","3","(8:23) (Shotgun) 10-J.Garoppolo pass incomplete short right to 19-D.Samuel. PENALTY on CAR-24-C.Henderson, Defensive Pass Interference, 8 yards, enforced at CAR 43 - No Play.","Box Score"
"","3.40","CAR","SF","5","2022-10-09","3","12:03","4","1","(12:03) 22-C.McCaffrey right end for 19 yards, TOUCHDOWN. PENALTY on SF-54-F.Warner, Low Block, 1 yard, enforced between downs.","Box Score"
"","3.38","MIN","MIA","6","2022-10-16","2","3:10","3","6","(3:10) (Shotgun) 8-K.Cousins pass short right to 18-J.Jefferson pushed ob at MIA 2 for 24 yards (8-J.Holland). PENALTY on MIA-94-C.Wilkins, Roughing the Passer, 1 yard, enforced at MIA 2.","Box Score"
"","3.37","TEN","PHI","13","2022-12-04","1","2:53","3","3","(2:53) (Shotgun) 17-R.Tannehill pass deep middle to 16-T.Burks for 25 yards, TOUCHDOWN. TEN-16-T.Burks was injured during the play. His return is Questionable.  PENALTY on PHI-22-M.Epps, Unnecessary Roughness, 15 yards, enforced between downs.","Box Score"
"","3.27","DEN","KC","17","2023-01-01","4","8:10","4","7","(8:10) (Shotgun) 3-R.Wilson pass short left intended for 28-L.Murray INTERCEPTED by 32-N.Bolton [55-F.Clark] at KC 30. 32-N.Bolton pushed ob at KC 38 for 8 yards (75-Q.Bailey). PENALTY on KC-23-J.Williams, Illegal Use of Hands, 5 yards, enforced at KC 40 - No Play.","Box Score"
