"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","0.52","CAR","TB","17","2023-01-01","1","11:48","2","5","(11:48) (Shotgun) 14-S.Darnold pass incomplete deep left to 2-D.Moore. PENALTY on TB-31-A.Winfield, Defensive Pass Interference, 6 yards, enforced at TB 23 - No Play.","Box Score"
"","0.50","IND","MIN","15","2022-12-17","3","13:17","2","4","(13:17) PENALTY on MIN-55-Z.Smith, Neutral Zone Infraction, 5 yards, enforced at IND 40 - No Play.","Box Score"
"","0.50","JAX","HOU","17","2023-01-01","2","15:00","2","10","(15:00) (Shotgun) PENALTY on HOU-93-K.Hinish, Neutral Zone Infraction, 5 yards, enforced at JAX 47 - No Play.","Box Score"
"","0.49","TEN","HOU","16","2022-12-24","4","0:15","2","1","(:15) (No Huddle, Shotgun) 7-M.Willis to TEN 21 for -6 yards (55-J.Hughes). FUMBLES (55-J.Hughes), and recovers at TEN 21. 7-M.Willis pass deep right to 81-A.Hooper pushed ob at TEN 42 for 15 yards (58-C.Kirksey). PENALTY on HOU-52-J.Greenard, Face Mask, 15 yards, enforced at TEN 42.","Box Score"
"","0.49","MIN","IND","15","2022-12-17","3","10:41","1","10","(10:41) 5-J.Reagor right end to MIN 20 for -5 yards (54-D.Odeyingbo). PENALTY on IND-54-D.Odeyingbo, Taunting, 15 yards, enforced at MIN 20.","Box Score"
"","0.49","NYG","IND","17","2023-01-01","4","13:19","1","10","(13:19) 8-D.Jones scrambles right end to IND 20 for 1 yard (58-B.Okereke). PENALTY on IND-58-B.Okereke, Unnecessary Roughness, 10 yards, enforced at IND 20.","Box Score"
"","0.48","JAX","TEN","18","2023-01-07","1","13:29","1","10","(13:29) 16-T.Lawrence pass incomplete deep left to 13-C.Kirk. PENALTY on TEN-26-K.Fulton, Illegal Contact, 5 yards, enforced at JAX 20 - No Play.","Box Score"
"","0.48","ATL","ARI","17","2023-01-01","1","6:47","1","10","(6:47) (Shotgun) PENALTY on ARI-95-L.Fotu, Encroachment, 5 yards, enforced at ATL 36 - No Play.","Box Score"
"","0.47","ARI","SF","18","2023-01-08","2","9:36","1","10","(9:36) 23-C.Clement up the middle to SF 39 for no gain (51-A.Al-Shaair). PENALTY on SF-56-S.Ebukam, Defensive Offside, 5 yards, enforced at SF 39 - No Play.","Box Score"
"","0.44","MIN","IND","15","2022-12-17","3","1:19","1","1","(1:19) 30-C.Ham up the middle for 1 yard, TOUCHDOWN. PENALTY on MIN-75-B.O'Neill, Unnecessary Roughness, 15 yards, enforced between downs.","Box Score"
"","0.42","NYG","PHI","18","2023-01-08","2","10:07","3","10","(10:07) (Shotgun) PENALTY on PHI-55-B.Graham, Neutral Zone Infraction, 5 yards, enforced at NYG 25 - No Play.","Box Score"
"","0.39","GB","MIA","16","2022-12-25","4","3:03","2","2","(3:03) (Shotgun) PENALTY on MIA-77-J.Jenkins, Encroachment, 5 yards, enforced at MIA 20 - No Play.","Box Score"
"","0.38","BUF","MIA","15","2022-12-17","2","0:26","1","10","(:26) (No Huddle, Shotgun) 17-J.Allen pass incomplete deep right to 88-D.Knox. PENALTY on MIA-9-N.Igbinoghene, Defensive Holding, 5 yards, enforced at MIA 19 - No Play.","Box Score"
"","0.38","ARI","ATL","17","2023-01-01","2","0:57","1","10","(:57) (No Huddle, Shotgun) 17-D.Blough pass deep right intended for 2-M.Brown INTERCEPTED by 24-A.Terrell at ATL 15. 24-A.Terrell ran ob at ATL 15 for no gain. PENALTY on ATL-47-A.Ebiketie, Defensive Offside, 5 yards, enforced at ARI 46 - No Play.","Box Score"
"","0.38","NE","CIN","16","2022-12-24","4","3:12","1","10","(3:12) (Shotgun) 10-M.Jones pass incomplete short left to 11-T.Thornton. PENALTY on CIN-20-E.Apple, Defensive Holding, 5 yards, enforced at CIN 43 - No Play.","Box Score"
"","0.37","LAC","TEN","15","2022-12-18","3","13:53","1","10","(13:53) 10-J.Herbert pass incomplete short right to 13-K.Allen. PENALTY on TEN-94-M.Edwards, Illegal Use of Hands, 5 yards, enforced at LAC 41 - No Play.","Box Score"
"","0.36","BUF","MIA","15","2022-12-17","2","0:12","2","5","(:12) (Shotgun) 17-J.Allen pass incomplete short right to 13-G.Davis. PENALTY on MIA-25-X.Howard, Defensive Holding, 5 yards, enforced at MIA 9 - No Play.","Box Score"
"","0.36","IND","HOU","18","2023-01-08","4","13:47","2","16","(13:47) (Shotgun) PENALTY on HOU-55-J.Hughes, Defensive Offside, 5 yards, enforced at IND 46 - No Play. unabated to the quarterback","Box Score"
"","0.36","TB","CIN","15","2022-12-18","1","0:03","2","5","(:03) 67-L.Goedeke reported in as eligible.  14-C.Godwin right end to CIN 3 for 2 yards (55-L.Wilson; 57-G.Pratt). PENALTY on CIN-57-G.Pratt, Defensive Offside, 2 yards, enforced at CIN 5 - No Play.","Box Score"
"","0.34","CLE","WAS","17","2023-01-01","1","13:41","2","2","(13:41) (Shotgun) 24-N.Chubb left tackle to CLE 46 for 1 yard (99-C.Young). PENALTY on WAS-90-M.Sweat, Defensive Offside, 5 yards, enforced at CLE 45 - No Play.","Box Score"
"","0.33","TB","CAR","17","2023-01-01","1","11:39","1","10","(11:39) 12-T.Brady pass incomplete deep left to 13-M.Evans. PENALTY on CAR-28-K.Taylor, Defensive Holding, 5 yards, enforced at TB 25 - No Play.","Box Score"
"","0.31","MIA","BUF","15","2022-12-17","3","8:58","1","10","(8:58) (No Huddle) 1-T.Tagovailoa pass incomplete deep right to 10-T.Hill. PENALTY on BUF-30-D.Jackson, Illegal Contact, 5 yards, enforced at MIA 26 - No Play.","Box Score"
"","0.31","CAR","DET","16","2022-12-24","2","0:16","2","20","(:16) 14-S.Darnold pass incomplete deep left to 84-S.Sullivan [59-J.Houston]. PENALTY on DET-49-C.Board, Illegal Contact, 5 yards, enforced at DET 40 - No Play.","Box Score"
"","0.30","NO","PHI","17","2023-01-01","4","3:29","2","1","(3:29) (Shotgun) PENALTY on PHI, Defensive Too Many Men on Field, 5 yards, enforced at PHI 43 - No Play.","Box Score"
"","0.30","MIN","IND","15","2022-12-17","1","9:11","1","10","(9:11) 8-K.Cousins pass short middle to 4-D.Cook to MIN 31 for 6 yards (44-Z.Franklin). PENALTY on IND-5-S.Gilmore, Defensive Holding, 5 yards, enforced at MIN 25 - No Play.","Box Score"
"","0.30","CAR","DET","16","2022-12-24","4","2:00","4","2","(2:00) (Run formation) PENALTY on CAR-14-S.Darnold, False Start, 5 yards, enforced at DET 13 - No Play.","Box Score"
"","0.29","DAL","TEN","17","2022-12-29","2","0:55","3","10","(:55) (Shotgun) 4-D.Prescott sacked at DAL 23 for -2 yards (95-D.Walker). PENALTY on TEN-21-R.McCreary, Defensive Holding, 5 yards, enforced at DAL 25 - No Play.","Box Score"
"","0.28","BAL","PIT","17","2023-01-01","2","8:53","4","1","(8:53) 11-J.Stout punts 49 yards to PIT 36, Center-46-N.Moore, fair catch by 82-S.Sims. PENALTY on PIT-39-M.Fitzpatrick, Offensive Holding, 10 yards, enforced at PIT 36.","Box Score"
"","0.27","WAS","DAL","18","2023-01-08","1","4:45","1","10","(4:45) 14-S.Howell pass short left to 32-J.Patterson pushed ob at WAS 35 for 2 yards (42-A.Barr). PENALTY on DAL-7-T.Diggs, Defensive Holding, 5 yards, enforced at WAS 33 - No Play.","Box Score"
"","0.27","CAR","TB","17","2023-01-01","4","1:58","1","10","(1:58) (Shotgun) 14-S.Darnold pass incomplete deep middle to 12-S.Smith [79-P.O'Connor]. PENALTY on TB-9-J.Tryon, Defensive Holding, 5 yards, enforced at CAR 25 - No Play.","Box Score"
