"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","0.70","BUF","MIA","2","2021-09-19","1","1:02","4","11","(1:02) 3-M.Haack punts 42 yards to MIA 30, Center-69-R.Ferguson. 19-J.Grant pushed ob at MIA 34 for 4 yards (54-A.Klein). PENALTY on MIA-29-Br.Jones, Offensive Holding, 10 yards, enforced at MIA 31.","Box Score"
"","0.70","LV","MIA","3","2021-09-26","1","0:47","4","20","(:47) 6-A.Cole punts 49 yards to MIA 1, Center-47-T.Sieg, downed by LV-7-Z.Jones. PENALTY on MIA-24-By.Jones, Unnecessary Roughness, 0 yards, enforced at MIA 1.","Box Score"
"","0.69","DEN","PIT","5","2021-10-10","2","11:54","4","2","(11:54) 6-S.Martin punts 52 yards to PIT 18, Center-46-J.Bobenmoyer. 14-R.McCloud to PIT 18 for no gain (12-M.Ford). PENALTY on PIT-31-J.Layne, Illegal Block Above the Waist, 9 yards, enforced at PIT 18.","Box Score"
"","0.69","MIN","LAC","10","2021-11-14","3","9:25","4","7","(9:25) 3-J.Berry punts 55 yards to LAC 12, Center-42-A.DePaola. 7-A.Roberts to LAC 25 for 13 yards (30-C.Ham; 45-T.Dye). PENALTY on LAC-38-K.Thomas, Offensive Holding, 6 yards, enforced at LAC 12.","Box Score"
"","0.69","LAC","LV","18","2022-01-09","3","6:43","4","10","(6:43) 1-T.Long punts 56 yards to LV 19, Center-54-M.Overton. 13-H.Renfrow to LV 32 for 13 yards (88-T.McKitty). PENALTY on LV-32-D.Leavitt, Unnecessary Roughness, 15 yards, enforced at LV 32.","Box Score"
"","0.68","DET","PIT","10","2021-11-14","4","10:08","4","5","(10:08) 3-J.Fox punts 49 yards to PIT 21, Center-47-S.Daly, downed by DET-18-K.Hodge. PENALTY on PIT-28-M.Killebrew, Running Into the Kicker, 4 yards, enforced at DET 30 - No Play.","Box Score"
"","0.67","CIN","DET","6","2021-10-17","2","8:32","4","12","(8:32) 10-K.Huber punts 51 yards to DET 12, Center-46-C.Harris. 11-K.Raymond to DET 25 for 13 yards (49-J.Bachie). PENALTY on DET-27-B.Price, Illegal Block Above the Waist, 6 yards, enforced at DET 12.","Box Score"
"","0.65","CAR","ARI","10","2021-11-14","3","12:59","4","12","(12:59) 10-L.Edwards punts 44 yards to ARI 35, Center-44-J.Jansen. 83-G.Dortch to ARI 36 for 1 yard (45-G.Ricci). PENALTY on ARI-33-A.Hamilton, Offensive Holding, 10 yards, enforced at ARI 35.","Box Score"
"","0.63","CAR","DAL","4","2021-10-03","1","12:15","4","14","(12:15) 3-J.Charlton punts 49 yards to DAL 35, Center-44-J.Jansen, fair catch by 88-C.Lamb. PENALTY on DAL-29-C.Goodwin, Defensive Offside, 5 yards, enforced at DAL 35.","Box Score"
"","0.63","NO","MIA","16","2021-12-27","1","0:24","4","13","(:24) 4-B.Gillikin punts 42 yards to MIA 36, Center-49-Z.Wood. 85-T.Lewis pushed ob at MIA 45 for 9 yards (53-Z.Baun). PENALTY on MIA-9-N.Igbinoghene, Illegal Use of Hands, 10 yards, enforced at MIA 36.","Box Score"
"","0.63","MIN","DAL","8","2021-10-31","4","13:46","4","4","(13:46) 3-J.Berry punts 51 yards to DAL 18, Center-42-A.DePaola, fair catch by 88-C.Lamb. PENALTY on DAL-29-C.Goodwin, Offensive Holding, 9 yards, enforced at DAL 18.","Box Score"
"","0.63","LA","SEA","15","2021-12-21","1","8:29","4","10","(8:29) 6-J.Hekker punts 30 yards to SEA 12, Center-42-M.Orzech, fair catch by 18-F.Swain. PENALTY on SEA-98-A.Robinson, Running Into the Kicker, 5 yards, enforced at SEA 42 - No Play.","Box Score"
"","0.62","CAR","MIN","6","2021-10-17","2","10:42","4","10","(10:42) 10-R.Winslow punts 44 yards to MIN 31, Center-44-J.Jansen. 12-D.Westbrook to MIN 31 for no gain (42-S.Franklin). PENALTY on MIN-29-K.Boyd, Offensive Holding, 10 yards, enforced at MIN 31.","Box Score"
"","0.61","LV","PIT","2","2021-09-19","1","8:28","4","2","(8:28) 6-A.Cole punts 55 yards to PIT 10, Center-47-T.Sieg. 14-R.McCloud to PIT 25 for 15 yards (24-J.Abram, 32-D.Leavitt). PENALTY on PIT-14-R.McCloud, Unsportsmanlike Conduct, 8 yards, enforced at PIT 16.","Box Score"
"","0.60","GB","CLE","16","2021-12-25","1","8:55","4","6","(8:55) 7-C.Bojorquez punts 45 yards to CLE 13, Center-46-S.Wirtel. 11-D.Peoples-Jones to CLE 17 for 4 yards (42-O.Burks). PENALTY on CLE-29-H.Miller, Illegal Block Above the Waist, 8 yards, enforced at CLE 16.","Box Score"
"","0.59","MIA","HOU","9","2021-11-07","2","9:00","4","12","(9:00) 5-M.Palardy punts 39 yards to HOU 38, Center-44-B.Ferguson. 25-D.King to HOU 40 for 2 yards (22-E.Campbell). PENALTY on HOU-25-D.King, Unnecessary Roughness, 15 yards, enforced at HOU 40.","Box Score"
"","0.57","IND","JAX","18","2022-01-09","2","1:53","4","12","(1:53) 8-R.Sanchez punts 41 yards to JAX 36, Center-46-L.Rhodes. 4-J.Mickens ran ob at JAX 44 for 8 yards (30-G.Odum). PENALTY on JAX-40-J.Jones, Running Into the Kicker, 5 yards, enforced at IND 23 - No Play.","Box Score"
"","0.57","TB","DAL","1","2021-09-09","2","14:53","4","15","(14:53) 8-B.Pinion punts 42 yards to DAL 8, Center-97-Z.Triner. 1-C.Wilson to DAL 11 for 3 yards (48-G.Stuard). PENALTY on DAL-25-N.Wright, Illegal Block Above the Waist, 5 yards, enforced at DAL 10.","Box Score"
"","0.57","CHI","NYG","17","2022-01-02","1","3:07","4","7","(3:07) 16-P.O'Donnell punts 42 yards to NYG 42, Center-48-P.Scales. 83-P.Cooper to CHI 43 for 15 yards (48-P.Scales; 57-C.Jones). PENALTY on NYG-31-K.Crossen, Offensive Holding, 10 yards, enforced at NYG 42.","Box Score"
"","0.52","LV","DAL","12","2021-11-25","5","4:31","4","7","(4:31) (Field Goal formation) PENALTY on DAL-29-C.Goodwin, Neutral Zone Infraction, 5 yards, enforced at DAL 21 - No Play.","Box Score"
"","0.50","CAR","TB","16","2021-12-26","4","0:14","4","4","(:14) (Shotgun) 14-S.Darnold pass incomplete short middle to 88-T.Marshall (43-R.Cockrell). PENALTY on TB-26-A.Adams, Defensive Holding, 5 yards, enforced at TB 11 - No Play.","Box Score"
"","0.50","CIN","CLE","18","2022-01-09","2","14:21","4","14","(14:21) 10-K.Huber punts 29 yards to 50, Center-46-C.Harris, downed by CIN-84-M.Wilcox. PENALTY on CLE-28-J.Owusu-Koramoah, Defensive Offside, 5 yards, enforced at CIN 21 - No Play.","Box Score"
"","0.49","DAL","DEN","9","2021-11-07","2","1:48","4","21","(1:48) 5-B.Anger punts 46 yards to DEN 21, Center-44-J.McQuaide. 11-D.Spencer to DEN 22 for 1 yard (29-C.Goodwin). PENALTY on DEN-40-J.Strnad, Illegal Block Above the Waist, 10 yards, enforced at DEN 22.","Box Score"
"","0.48","NYG","KC","8","2021-11-01","3","12:51","4","1","(12:51) 9-R.Dixon punts 51 yards to KC 15, Center-58-C.Kreiter, downed by NYG-47-C.Brown. PENALTY on KC-90-J.Reed, Offensive Holding, 7 yards, enforced at KC 15.","Box Score"
"","0.47","NE","LAC","8","2021-10-31","4","13:38","4","2","(13:38) 7-J.Bailey punts 62 yards to LAC 5, Center-49-J.Cardona. 7-A.Roberts to LAC 17 for 12 yards (43-C.Munson). PENALTY on LAC-36-T.Marshall, Illegal Block Above the Waist, 6 yards, enforced at LAC 12.","Box Score"
"","0.46","NYJ","TEN","4","2021-10-03","1","4:16","4","13","(4:16) 4-T.Morstead punts 56 yards to TEN 9, Center-42-T.Hennessy. 80-C.Rogers to TEN 31 for 22 yards (85-T.Wesco). PENALTY on TEN-92-O.Adeniyi, Unnecessary Roughness, 15 yards, enforced at TEN 31.","Box Score"
"","0.44","MIN","BAL","9","2021-11-07","5","5:23","4","9","(5:23) 3-J.Berry punts 41 yards to BAL 20, Center-42-A.DePaola, out of bounds. PENALTY on BAL-44-M.Humphrey, Offensive Holding, 10 yards, enforced at BAL 20.","Box Score"
"","0.43","CAR","NYG","7","2021-10-24","4","11:34","4","26","(11:34) 10-R.Winslow punts 39 yards to CAR 48, Center-44-J.Jansen. 13-D.Pettis pushed ob at CAR 44 for 4 yards (34-S.Chandler). PENALTY on NYG-30-D.Holmes, Offensive Holding, 10 yards, enforced at CAR 48.","Box Score"
"","0.43","SEA","MIN","3","2021-09-26","3","3:59","4","14","(3:59) 4-M.Dickson punts 43 yards to MIN 25, Center-69-T.Ott. 12-D.Westbrook to MIN 38 for 13 yards (44-N.Bellore). PENALTY on MIN-44-J.Metellus, Offensive Holding, 10 yards, enforced at MIN 25.","Box Score"
"","0.43","LV","LAC","18","2022-01-09","4","2:16","4","16","(2:16) 6-A.Cole punts 54 yards to LAC 27, Center-47-T.Sieg. 7-A.Roberts ran ob at LAC 38 for 11 yards (5-D.Deablo). PENALTY on LAC-37-K.Hall, Offensive Holding, 10 yards, enforced at LAC 27.","Box Score"
